 Hello, jx, ith, ith_tot, ith_max =         360           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         357          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         362          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         361           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         363          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         364           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         365          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         366          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         367           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         368           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         369          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         370           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         371           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         372          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         373           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         374           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         375           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         376           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         377           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         378          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         379          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         380          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         381          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         382          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         383          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         384           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         385          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         388          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         389          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         386           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         387           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         390           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         391           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         392          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         393           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         394           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         395          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         402           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         400           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         401           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         397          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         399          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         404           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         398          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         396          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         403          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         405           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         406          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         408           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         422           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         409           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         411          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         414          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         420          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         424          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         423           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         407          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         410          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         419           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         417           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         415          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         418          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         413          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         412           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         416           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         421           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         425           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         426          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         427           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         428          16          20          20
 Hello, jx, ith, ith_tot, ith_max =         431           4          20          20
 Hello, jx, ith, ith_tot, ith_max =         434          19          20          20
 Hello, jx, ith, ith_tot, ith_max =         429          17          20          20
 Hello, jx, ith, ith_tot, ith_max =         430          18          20          20
 Hello, jx, ith, ith_tot, ith_max =         436          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         432           7          20          20
 Hello, jx, ith, ith_tot, ith_max =         435          12          20          20
 Hello, jx, ith, ith_tot, ith_max =         433           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         437           3          20          20
 Hello, jx, ith, ith_tot, ith_max =         438          11          20          20
 Hello, jx, ith, ith_tot, ith_max =         439           6          20          20
 Hello, jx, ith, ith_tot, ith_max =         440           5          20          20
 Hello, jx, ith, ith_tot, ith_max =         443           0          20          20
 Hello, jx, ith, ith_tot, ith_max =         442          10          20          20
 Hello, jx, ith, ith_tot, ith_max =         441           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         444          15          20          20
 Hello, jx, ith, ith_tot, ith_max =         445           1          20          20
 Hello, jx, ith, ith_tot, ith_max =         446          14          20          20
 Hello, jx, ith, ith_tot, ith_max =         447           9          20          20
 Hello, jx, ith, ith_tot, ith_max =         448          13          20          20
 Hello, jx, ith, ith_tot, ith_max =         449           8          20          20
 Hello, jx, ith, ith_tot, ith_max =         461           2          20          20
 Hello, jx, ith, ith_tot, ith_max =         464           7          20          20
